Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes
NGC4624;G;12:45:05.99;+03:03:20.8;Vir;4.52;4.52;5;11.50;10.50;8.34;7.68;7.43;23.13;S0-a;;;;;4664,4665;;;2MASX J12450595+0303204,MCG +01-33-005,PGC 042970,SDSS J124505.99+030320.7,UGC 07924;;;
NGC4625;G;12:41:52.72;+41:16:26.3;CVn;1.41;1.06;27;12.92;12.35;10.65;9.93;9.75;22.26;SABm;;;;;;3675;;2MASX J12415270+4116253,IRAS 12395+4132,MCG +07-26-038,PGC 042607,SDSS J124152.71+411626.2,SDSS J124152.72+411626.2,SDSS J124152.72+411626.3,UGC 07861;;;
NGC4626;G;12:42:25.31;-07:02:39.4;Vir;1.63;0.49;39;14.00;;11.67;11.06;10.83;22.80;SBbc;;;;;;;;2MASX J12422507-0702456,2MASX J12422554-0702364,IRAS 12398-0646,MCG -01-32-040,PGC 042680;;;
NGC4627;G;12:41:59.68;+32:34:24.8;CVn;2.36;1.66;21;13.06;12.43;;;;23.73;E;;;;;;;;MCG +06-28-019,PGC 042620,UGC 07860;;;
NGC4628;G;12:42:25.26;-06:58:15.6;Vir;1.64;0.57;46;13.80;;10.51;9.84;9.46;23.13;Sb;;;;;;;;2MASX J12422527-0658154,IRAS 12398-0641,MCG -01-32-041,PGC 042681;;;
NGC4629;G;12:42:32.67;-01:21:02.4;Vir;1.03;0.71;90;14.00;;12.57;11.94;11.84;22.38;SABm;;;;;;;;2MASX J12423272-0121021,MCG +00-32-037,PGC 042692,SDSS J124232.42-012102.9,SDSS J124232.67-012102.3,SDSS J124232.67-012102.4,UGC 07869;;;
NGC4630;G;12:42:31.13;+03:57:36.9;Vir;1.66;1.21;10;13.40;;10.75;10.21;9.89;22.60;I;;;;;;;;2MASX J12423114+0357372,IRAS 12399+0414,MCG +01-32-136,PGC 042688,SDSS J124231.01+035727.0,SDSS J124231.12+035736.8,UGC 07871;;;
NGC4631;G;12:42:08.01;+32:32:29.4;CVn;14.45;2.20;86;9.78;9.19;7.53;6.83;6.47;22.44;SBcd;;;;;;;;2MASX J12420800+3232294,C32,IRAS 12396+3249,MCG +06-28-020,PGC 042637,UGC 07865;Whale Galaxy;;
NGC4632;G;12:42:32.03;-00:04:57.4;Vir;2.56;0.98;59;12.50;;10.12;9.55;9.28;22.27;Sc;;;;;;;;IRAS 12399+0011,MCG +00-32-038,PGC 042689,SDSS J124231.87-000454.8,SDSS J124231.99-000457.7,UGC 07870;;Position is for 2MASX J12423203-0004571, the nucleus.;
NGC4633;G;12:42:37.38;+14:21:25.9;Com;1.77;0.75;33;14.70;;;10.27;;22.97;SABd;;;;;;3688;;MCG +03-32-085,PGC 042699,SDSS J124237.37+142125.9,UGC 07874;;;
NGC4634;G;12:42:40.96;+14:17:45.0;Com;2.47;0.60;156;13.60;;10.38;9.56;9.25;22.56;SBc;;;;;;;;2MASX J12424098+1417451,IRAS 12401+1434,MCG +03-32-086,PGC 042707,UGC 07875;;;
NGC4635;G;12:42:39.24;+19:56:43.1;Com;1.94;1.40;178;13.60;13.00;11.45;10.98;10.71;23.14;SABc;;;;;;;;2MASX J12423925+1956428,IRAS 12402+2012,MCG +03-32-087,PGC 042704,SDSS J124239.23+195643.0,SDSS J124239.24+195643.1,UGC 07876;;;
NGC4636;G;12:42:49.83;+02:41:16.0;Vir;6.35;4.70;150;12.62;11.84;7.31;6.60;6.42;22.91;E;;;;;;;;2MASX J12424986+0241160,MCG +01-32-137,PGC 042734,SDSS J124249.82+024115.9,UGC 07878;;;
NGC4637;G;12:42:54.10;+11:26:17.8;Vir;1.29;0.71;91;16.00;;13.65;13.11;12.71;24.15;S0;;;;;;;;2MASX J12425409+1126178,MCG +02-32-188,PGC 042744,SDSS J124254.09+112617.7,UGC 07881;;NGC identification is not certain.;
NGC4638;G;12:42:47.42;+11:26:33.0;Vir;2.31;1.50;123;12.20;11.23;9.13;8.46;8.21;22.60;E-S0;;;;;4667;;;2MASX J12424743+1126328,MCG +02-32-187,PGC 042728,SDSS J124247.42+112633.0,UGC 07880;;Identification as NGC 4667 is not certain.;
NGC4639;G;12:42:52.39;+13:15:26.6;Vir;2.87;1.88;138;13.62;12.72;9.65;9.03;8.81;22.79;Sbc;;;;;;;;2MASX J12425235+1315271,IRAS 12403+1331,MCG +02-32-189,PGC 042741,SDSS J124252.36+131526.5,SDSS J124252.37+131526.6,UGC 07884;;;
NGC4640;G;12:42:57.77;+12:17:13.1;Vir;1.61;0.89;53;15.20;;11.84;11.11;10.82;23.89;S0-a;;;;;;;;2MASX J12425775+1217121,MCG +02-32-190,PGC 042753,SDSS J124257.76+121713.0,SDSS J124257.77+121713.0,SDSS J124257.77+121713.1,UGC 07888;;;
NGC4641;G;12:43:07.66;+12:03:04.3;Vir;1.28;1.05;172;14.90;;11.74;11.21;11.12;23.00;S0;;;;;;;;2MASX J12430765+1203039,MCG +02-32-191,PGC 042769,SDSS J124307.66+120304.2,SDSS J124307.66+120304.3,UGC 07889;;;
NGC4642;G;12:43:17.78;-00:38:39.3;Vir;1.55;0.53;27;13.80;;11.32;10.71;10.36;22.68;Sbc;;;;;;;;2MASX J12431778-0038392,IRAS 12407-0022,MCG +00-33-004,PGC 042791,TYC 4949-288-1,UGC 07893;;The APM position refers to the northeastern end of the galaxy.;
NGC4643;G;12:43:20.14;+01:58:41.8;Vir;2.24;1.75;132;11.90;;8.32;7.67;7.41;21.68;S0-a;;;;;;;;2MASX J12432013+0158422,IRAS 12407+0215,MCG +00-33-005,PGC 042797,SDSS J124319.16+015838.2,SDSS J124320.13+015841.7,UGC 07895;;;
NGC4644;G;12:42:42.66;+55:08:43.8;UMa;1.51;0.63;51;14.80;;11.65;10.98;10.61;23.62;Sb;;;;;;;;2MASX J12424266+5508435,MCG +09-21-030,PGC 042708,SDSS J124242.65+550843.8,SDSS J124242.66+550843.8,UGC 07887;;;
NGC4645;G;12:44:09.99;-41:44:59.8;Cen;1.97;0.89;46;12.82;11.68;9.37;8.72;8.44;23.18;E;;;;;;;;2MASX J12440998-4144596,ESO 322-066,ESO-LV 322-0660,MCG -07-26-037,PGC 042879;;;
NGC4645A;G;12:43:05.57;-41:21:32.1;Cen;3.03;0.97;30;13.45;;9.42;8.67;8.44;24.50;S0;;;;;;;;2MASX J12430555-4121319,ESO 322-059,ESO-LV 322-0590,IRAS 12403-4105,MCG -07-26-032,PGC 042764;;;
NGC4645B;G;12:43:31.18;-41:21:45.1;Cen;2.16;0.89;158;13.42;12.99;;;;23.84;S0;;;;;;;;ESO 322-060,ESO-LV 322-0600,MCG -07-26-034,PGC 042813;;;
NGC4646;G;12:42:52.12;+54:51:21.6;UMa;0.63;0.28;17;13.80;;10.82;10.09;9.81;22.14;E;;;;;;;;2MASX J12425218+5451215,MCG +09-21-031,PGC 042740,SDSS J124252.11+545121.6,SDSS J124252.12+545121.5,SDSS J124252.12+545121.6,UGC 07892;;;
NGC4647;G;12:43:32.31;+11:34:54.7;Vir;2.75;2.36;139;12.50;12.50;8.88;8.28;8.05;22.41;SABc;;;;;;;;2MASX J12433254+1134568,IRAS 12410+1151,MCG +02-33-001,PGC 042816,UGC 07896;;;
NGC4648;G;12:41:44.39;+74:25:15.4;Dra;1.41;1.16;73;12.60;;9.77;9.11;8.85;22.55;E;;;;;;;;2MASX J12414441+7425151,MCG +13-09-029,PGC 042595,UGC 07868;;;
NGC4649;G;12:43:39.98;+11:33:09.7;Vir;6.78;5.45;105;10.30;;6.67;6.00;5.74;22.81;E;;;;060;;;;2MASS J12434000+1133099,2MASX J12434000+1133093,MCG +02-33-002,PGC 042831,SDSS J124339.97+113309.7,UGC 07898;;;
NGC4650;G;12:44:19.59;-40:43:54.5;Cen;3.05;2.04;111;12.74;11.91;9.56;8.84;8.56;23.73;S0-a;;;;;;;;2MASX J12441959-4043546,ESO 322-067,ESO-LV 322-0670,IRAS 12415-4027,MCG -07-26-038,PGC 042891;;;
NGC4650A;G;12:44:49.06;-40:42:51.5;Cen;1.46;0.33;172;14.12;13.58;11.92;11.20;11.03;23.18;S0-a;;;;;;;;2MASX J12444906-4042512,ESO 322-069,ESO-LV 322-0690,PGC 042951;;;